"CoC Number","CoC Name","Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
"PA-511","Bristol/Bensalem/Bucks County CoC","511.0","462.0","49.0","198.0","149.0","49.0","313.0","313.0","0.0","27.0","20.0","7.0","27.0","20.0","7.0","0.0","0.0","0.0","12.0","9.0","3.0","27.0","20.0","7.0","1.0","1.0","0.0","26.0","19.0","7.0","31.0","31.0","0.0","0.0","0.0","0.0","31.0","31.0","0.0","43.0","43.0","0.0"
"PA-512","York City & County CoC","288.0","243.0","45.0","134.0","96.0","38.0","154.0","147.0","7.0","12.0","7.0","5.0","12.0","7.0","5.0","0.0","0.0","0.0","9.0","8.0","1.0","16.0","5.0","11.0","8.0","0.0","8.0","8.0","5.0","3.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","5.0","5.0","0.0"
"PA-600","Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC","1145.0","1092.0","53.0","756.0","703.0","53.0","389.0","389.0","0.0","131.0","112.0","19.0","117.0","98.0","19.0","14.0","14.0","0.0","102.0","95.0","7.0","77.0","75.0","2.0","0.0","0.0","0.0","77.0","75.0","2.0","16.0","16.0","0.0","0.0","0.0","0.0","16.0","16.0","0.0","30.0","30.0","0.0"
"PA-601","Western Pennsylvania CoC","837.0","774.0","63.0","531.0","480.0","51.0","306.0","294.0","12.0","29.0","21.0","8.0","29.0","21.0","8.0","0.0","0.0","0.0","94.0","92.0","2.0","49.0","40.0","9.0","5.0","5.0","0.0","44.0","35.0","9.0","15.0","14.0","1.0","1.0","0.0","1.0","14.0","14.0","0.0","21.0","20.0","1.0"
"PA-603","Beaver County CoC","98.0","88.0","10.0","34.0","30.0","4.0","64.0","58.0","6.0","12.0","5.0","7.0","4.0","3.0","1.0","8.0","2.0","6.0","2.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0"
"PA-605","Erie City & County CoC","369.0","361.0","8.0","264.0","256.0","8.0","105.0","105.0","0.0","29.0","29.0","0.0","22.0","22.0","0.0","7.0","7.0","0.0","29.0","27.0","2.0","30.0","30.0","0.0","2.0","2.0","0.0","28.0","28.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0","12.0","12.0","0.0"
"PR-502","Puerto Rico Balance of Commonwealth CoC","1883.0","682.0","1201.0","1678.0","506.0","1172.0","205.0","176.0","29.0","655.0","59.0","596.0","653.0","59.0","594.0","2.0","0.0","2.0","46.0","4.0","42.0","65.0","28.0","37.0","0.0","0.0","0.0","65.0","28.0","37.0","17.0","15.0","2.0","0.0","0.0","0.0","17.0","15.0","2.0","20.0","19.0","1.0"
"PR-503","South/Southeast Puerto Rico CoC","1642.0","331.0","1311.0","1463.0","294.0","1169.0","179.0","37.0","142.0","423.0","83.0","340.0","412.0","83.0","329.0","11.0","0.0","11.0","48.0","26.0","22.0","70.0","18.0","52.0","3.0","2.0","1.0","67.0","16.0","51.0","8.0","2.0","6.0","0.0","0.0","0.0","8.0","2.0","6.0","10.0","4.0","6.0"
"RI-500","Rhode Island Statewide CoC","1180.0","1111.0","69.0","802.0","733.0","69.0","378.0","378.0","0.0","240.0","215.0","25.0","240.0","215.0","25.0","0.0","0.0","0.0","95.0","92.0","3.0","49.0","41.0","8.0","1.0","1.0","0.0","48.0","40.0","8.0","6.0","6.0","0.0","0.0","0.0","0.0","6.0","6.0","0.0","10.0","10.0","0.0"
"SC-500","Charleston/Low Country CoC","425.0","221.0","204.0","393.0","199.0","194.0","32.0","22.0","10.0","108.0","21.0","87.0","108.0","21.0","87.0","0.0","0.0","0.0","127.0","92.0","35.0","12.0","2.0","10.0","0.0","0.0","0.0","12.0","2.0","10.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
