"State","Number of CoCs","Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
"GA","9.0","10174.0","6651.0","3523.0","7422.0","4102.0","3320.0","2752.0","2549.0","203.0","1028.0","462.0","566.0","963.0","405.0","558.0","65.0","57.0","8.0","712.0","466.0","246.0","526.0","328.0","198.0","28.0","24.0","4.0","498.0","304.0","194.0","75.0","62.0","13.0","0.0","0.0","0.0","75.0","62.0","13.0","139.0","121.0","18.0"
"GU","1.0","852.0","87.0","765.0","215.0","17.0","198.0","637.0","70.0","567.0","64.0","0.0","64.0","20.0","0.0","20.0","44.0","0.0","44.0","24.0","4.0","20.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","7.0","1.0","6.0","0.0","0.0","0.0","7.0","1.0","6.0","14.0","3.0","11.0"
"HI","2.0","7220.0","3420.0","3800.0","4535.0","1258.0","3277.0","2685.0","2162.0","523.0","1800.0","207.0","1593.0","1588.0","164.0","1424.0","212.0","43.0","169.0","615.0","237.0","378.0","319.0","56.0","263.0","26.0","2.0","24.0","293.0","54.0","239.0","71.0","60.0","11.0","0.0","0.0","0.0","71.0","60.0","11.0","68.0","56.0","12.0"
"IA","3.0","2756.0","2652.0","104.0","1500.0","1396.0","104.0","1256.0","1256.0","0.0","199.0","143.0","56.0","170.0","114.0","56.0","29.0","29.0","0.0","171.0","153.0","18.0","140.0","136.0","4.0","12.0","12.0","0.0","128.0","124.0","4.0","73.0","73.0","0.0","0.0","0.0","0.0","73.0","73.0","0.0","107.0","107.0","0.0"
"ID","2.0","2037.0","1398.0","639.0","1309.0","857.0","452.0","728.0","541.0","187.0","436.0","302.0","134.0","391.0","257.0","134.0","45.0","45.0","0.0","228.0","159.0","69.0","113.0","89.0","24.0","7.0","7.0","0.0","106.0","82.0","24.0","17.0","15.0","2.0","0.0","0.0","0.0","17.0","15.0","2.0","24.0","19.0","5.0"
"IL","20.0","10798.0","8541.0","2257.0","6894.0","4759.0","2135.0","3904.0","3782.0","122.0","1475.0","717.0","758.0","1355.0","644.0","711.0","120.0","73.0","47.0","864.0","575.0","289.0","730.0","592.0","138.0","49.0","46.0","3.0","681.0","546.0","135.0","290.0","276.0","14.0","1.0","1.0","0.0","289.0","275.0","14.0","406.0","389.0","17.0"
"IN","2.0","5438.0","4869.0","569.0","3623.0","3082.0","541.0","1815.0","1787.0","28.0","537.0","483.0","54.0","486.0","432.0","54.0","51.0","51.0","0.0","615.0","569.0","46.0","294.0","252.0","42.0","30.0","29.0","1.0","264.0","223.0","41.0","70.0","69.0","1.0","0.0","0.0","0.0","70.0","69.0","1.0","93.0","92.0","1.0"
"KS","5.0","2287.0","1942.0","345.0","1423.0","1083.0","340.0","864.0","859.0","5.0","341.0","251.0","90.0","252.0","166.0","86.0","89.0","85.0","4.0","217.0","177.0","40.0","103.0","79.0","24.0","6.0","6.0","0.0","97.0","73.0","24.0","33.0","32.0","1.0","0.0","0.0","0.0","33.0","32.0","1.0","60.0","56.0","4.0"
"KY","3.0","4025.0","3298.0","727.0","3032.0","2386.0","646.0","993.0","912.0","81.0","405.0","267.0","138.0","383.0","252.0","131.0","22.0","15.0","7.0","489.0","445.0","44.0","253.0","194.0","59.0","18.0","14.0","4.0","235.0","180.0","55.0","62.0","56.0","6.0","1.0","1.0","0.0","61.0","55.0","6.0","89.0","83.0","6.0"
"LA","8.0","3305.0","2330.0","975.0","2559.0","1647.0","912.0","746.0","683.0","63.0","618.0","183.0","435.0","609.0","174.0","435.0","9.0","9.0","0.0","383.0","329.0","54.0","236.0","186.0","50.0","46.0","45.0","1.0","190.0","141.0","49.0","31.0","28.0","3.0","0.0","0.0","0.0","31.0","28.0","3.0","55.0","48.0","7.0"
"MA","15.0","17565.0","16574.0","991.0","6267.0","5288.0","979.0","11298.0","11286.0","12.0","1914.0","1555.0","359.0","1238.0","885.0","353.0","676.0","670.0","6.0","853.0","808.0","45.0","469.0","407.0","62.0","57.0","54.0","3.0","412.0","353.0","59.0","572.0","572.0","0.0","0.0","0.0","0.0","572.0","572.0","0.0","715.0","715.0","0.0"
"MD","16.0","7247.0","5511.0","1736.0","5077.0","3509.0","1568.0","2170.0","2002.0","168.0","1520.0","816.0","704.0","1436.0","746.0","690.0","84.0","70.0","14.0","536.0","440.0","96.0","272.0","179.0","93.0","11.0","7.0","4.0","261.0","172.0","89.0","121.0","114.0","7.0","0.0","0.0","0.0","121.0","114.0","7.0","176.0","166.0","10.0"
"ME","1.0","2280.0","2100.0","180.0","1352.0","1244.0","108.0","928.0","856.0","72.0","201.0","201.0","0.0","189.0","189.0","0.0","12.0","12.0","0.0","131.0","120.0","11.0","178.0","143.0","35.0","28.0","16.0","12.0","150.0","127.0","23.0","26.0","21.0","5.0","2.0","0.0","2.0","24.0","21.0","3.0","33.0","29.0","4.0"
"MI","21.0","9051.0","8028.0","1023.0","5628.0","4715.0","913.0","3423.0","3313.0","110.0","774.0","538.0","236.0","709.0","482.0","227.0","65.0","56.0","9.0","773.0","713.0","60.0","608.0","539.0","69.0","80.0","76.0","4.0","528.0","463.0","65.0","201.0","198.0","3.0","5.0","5.0","0.0","196.0","193.0","3.0","319.0","316.0","3.0"
"MN","10.0","7668.0","6560.0","1108.0","3899.0","2892.0","1007.0","3769.0","3668.0","101.0","906.0","552.0","354.0","813.0","472.0","341.0","93.0","80.0","13.0","281.0","244.0","37.0","889.0","739.0","150.0","136.0","129.0","7.0","753.0","610.0","143.0","315.0","305.0","10.0","10.0","8.0","2.0","305.0","297.0","8.0","501.0","488.0","13.0"
"MO","8.0","6037.0","4885.0","1152.0","3768.0","2770.0","998.0","2269.0","2115.0","154.0","1087.0","723.0","364.0","883.0","525.0","358.0","204.0","198.0","6.0","538.0","449.0","89.0","548.0","455.0","93.0","101.0","91.0","10.0","447.0","364.0","83.0","163.0","162.0","1.0","4.0","4.0","0.0","159.0","158.0","1.0","218.0","217.0","1.0"
"MP","1.0","672.0","24.0","648.0","208.0","11.0","197.0","464.0","13.0","451.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MS","3.0","1472.0","753.0","719.0","1100.0","452.0","648.0","372.0","301.0","71.0","72.0","24.0","48.0","61.0","13.0","48.0","11.0","11.0","0.0","57.0","39.0","18.0","59.0","40.0","19.0","21.0","21.0","0.0","38.0","19.0","19.0","9.0","3.0","6.0","0.0","0.0","0.0","9.0","3.0","6.0","14.0","6.0","8.0"
"MT","1.0","1529.0","985.0","544.0","987.0","633.0","354.0","542.0","352.0","190.0","198.0","75.0","123.0","182.0","73.0","109.0","16.0","2.0","14.0","205.0","125.0","80.0","106.0","66.0","40.0","14.0","9.0","5.0","92.0","57.0","35.0","21.0","16.0","5.0","0.0","0.0","0.0","21.0","16.0","5.0","24.0","19.0","5.0"
"NC","12.0","8962.0","6511.0","2451.0","6044.0","4129.0","1915.0","2918.0","2382.0","536.0","1075.0","396.0","679.0","994.0","359.0","635.0","81.0","37.0","44.0","931.0","732.0","199.0","434.0","320.0","114.0","68.0","66.0","2.0","366.0","254.0","112.0","112.0","98.0","14.0","0.0","0.0","0.0","112.0","98.0","14.0","157.0","140.0","17.0"
"ND","1.0","1089.0","758.0","331.0","832.0","650.0","182.0","257.0","108.0","149.0","45.0","25.0","20.0","37.0","25.0","12.0","8.0","0.0","8.0","74.0","58.0","16.0","80.0","66.0","14.0","17.0","17.0","0.0","63.0","49.0","14.0","17.0","9.0","8.0","0.0","0.0","0.0","17.0","9.0","8.0","19.0","11.0","8.0"
"NE","3.0","2501.0","2381.0","120.0","1698.0","1578.0","120.0","803.0","803.0","0.0","375.0","299.0","76.0","361.0","285.0","76.0","14.0","14.0","0.0","174.0","172.0","2.0","164.0","151.0","13.0","11.0","11.0","0.0","153.0","140.0","13.0","54.0","54.0","0.0","0.0","0.0","0.0","54.0","54.0","0.0","60.0","60.0","0.0"
"NH","3.0","1456.0","1282.0","174.0","776.0","638.0","138.0","680.0","644.0","36.0","137.0","62.0","75.0","100.0","38.0","62.0","37.0","24.0","13.0","124.0","113.0","11.0","76.0","62.0","14.0","0.0","0.0","0.0","76.0","62.0","14.0","36.0","31.0","5.0","0.0","0.0","0.0","36.0","31.0","5.0","51.0","43.0","8.0"
"NJ","16.0","8536.0","7122.0","1414.0","5433.0","4038.0","1395.0","3103.0","3084.0","19.0","1069.0","652.0","417.0","955.0","542.0","413.0","114.0","110.0","4.0","583.0","494.0","89.0","492.0","432.0","60.0","53.0","52.0","1.0","439.0","380.0","59.0","225.0","225.0","0.0","0.0","0.0","0.0","225.0","225.0","0.0","300.0","300.0","0.0"
"NM","2.0","2482.0","1686.0","796.0","1865.0","1147.0","718.0","617.0","539.0","78.0","814.0","463.0","351.0","712.0","385.0","327.0","102.0","78.0","24.0","248.0","135.0","113.0","181.0","138.0","43.0","78.0","77.0","1.0","103.0","61.0","42.0","14.0","14.0","0.0","1.0","1.0","0.0","13.0","13.0","0.0","19.0","19.0","0.0"
"NV","3.0","7833.0","3255.0","4578.0","7281.0","2721.0","4560.0","552.0","534.0","18.0","512.0","123.0","389.0","502.0","121.0","381.0","10.0","2.0","8.0","832.0","492.0","340.0","2166.0","235.0","1931.0","262.0","23.0","239.0","1904.0","212.0","1692.0","30.0","24.0","6.0","1.0","1.0","0.0","29.0","23.0","6.0","35.0","32.0","3.0"
"NY","26.0","89503.0","84948.0","4555.0","37390.0","32890.0","4500.0","52113.0","52058.0","55.0","6578.0","4598.0","1980.0","5087.0","3110.0","1977.0","1491.0","1488.0","3.0","1244.0","1186.0","58.0","2829.0","2535.0","294.0","101.0","95.0","6.0","2728.0","2440.0","288.0","3020.0","3017.0","3.0","12.0","12.0","0.0","3008.0","3005.0","3.0","3367.0","3364.0","3.0"
"OH","9.0","10095.0","8786.0","1309.0","6688.0","5494.0","1194.0","3407.0","3292.0","115.0","772.0","425.0","347.0","725.0","396.0","329.0","47.0","29.0","18.0","862.0","785.0","77.0","695.0","584.0","111.0","64.0","63.0","1.0","631.0","521.0","110.0","160.0","154.0","6.0","1.0","1.0","0.0","159.0","153.0","6.0","223.0","216.0","7.0"
"OK","8.0","4199.0","3084.0","1115.0","2824.0","1992.0","832.0","1375.0","1092.0","283.0","660.0","348.0","312.0","578.0","295.0","283.0","82.0","53.0","29.0","349.0","235.0","114.0","363.0","253.0","110.0","45.0","27.0","18.0","318.0","226.0","92.0","50.0","44.0","6.0","0.0","0.0","0.0","50.0","44.0","6.0","63.0","55.0","8.0"
"OR","7.0","13953.0","5986.0","7967.0","10434.0","4293.0","6141.0","3519.0","1693.0","1826.0","3387.0","868.0","2519.0","3120.0","768.0","2352.0","267.0","100.0","167.0","1251.0","583.0","668.0","1462.0","507.0","955.0","515.0","96.0","419.0","947.0","411.0","536.0","125.0","93.0","32.0","2.0","2.0","0.0","123.0","91.0","32.0","144.0","102.0","42.0"
"PA","16.0","14138.0","12340.0","1798.0","8271.0","6529.0","1742.0","5867.0","5811.0","56.0","1438.0","828.0","610.0","1372.0","768.0","604.0","66.0","60.0","6.0","963.0","875.0","88.0","756.0","608.0","148.0","60.0","47.0","13.0","696.0","561.0","135.0","466.0","462.0","4.0","1.0","0.0","1.0","465.0","462.0","3.0","681.0","677.0","4.0"
"PR","2.0","3525.0","1013.0","2512.0","3141.0","800.0","2341.0","384.0","213.0","171.0","1078.0","142.0","936.0","1065.0","142.0","923.0","13.0","0.0","13.0","94.0","30.0","64.0","135.0","46.0","89.0","3.0","2.0","1.0","132.0","44.0","88.0","25.0","17.0","8.0","0.0","0.0","0.0","25.0","17.0","8.0","30.0","23.0","7.0"
"RI","1.0","1180.0","1111.0","69.0","802.0","733.0","69.0","378.0","378.0","0.0","240.0","215.0","25.0","240.0","215.0","25.0","0.0","0.0","0.0","95.0","92.0","3.0","49.0","41.0","8.0","1.0","1.0","0.0","48.0","40.0","8.0","6.0","6.0","0.0","0.0","0.0","0.0","6.0","6.0","0.0","10.0","10.0","0.0"
"SC","4.0","3916.0","2415.0","1501.0","2896.0","1667.0","1229.0","1020.0","748.0","272.0","824.0","236.0","588.0","792.0","226.0","566.0","32.0","10.0","22.0","480.0","321.0","159.0","173.0","108.0","65.0","8.0","6.0","2.0","165.0","102.0","63.0","44.0","36.0","8.0","0.0","0.0","0.0","44.0","36.0","8.0","63.0","53.0","10.0"
"SD","1.0","943.0","772.0","171.0","611.0","452.0","159.0","332.0","320.0","12.0","144.0","112.0","32.0","101.0","81.0","20.0","43.0","31.0","12.0","130.0","123.0","7.0","66.0","53.0","13.0","19.0","18.0","1.0","47.0","35.0","12.0","14.0","14.0","0.0","2.0","2.0","0.0","12.0","12.0","0.0","18.0","18.0","0.0"
"TN","10.0","8309.0","5544.0","2765.0","6137.0","3883.0","2254.0","2172.0","1661.0","511.0","1484.0","571.0","913.0","1295.0","482.0","813.0","189.0","89.0","100.0","757.0","615.0","142.0","457.0","276.0","181.0","23.0","17.0","6.0","434.0","259.0","175.0","47.0","37.0","10.0","0.0","0.0","0.0","47.0","37.0","10.0","89.0","61.0","28.0"
"TX","11.0","23548.0","15055.0","8493.0","16708.0","8714.0","7994.0","6840.0","6341.0","499.0","3711.0","1481.0","2230.0","3497.0","1319.0","2178.0","214.0","162.0","52.0","2200.0","1379.0","821.0","1318.0","772.0","546.0","129.0","113.0","16.0","1189.0","659.0","530.0","301.0","282.0","19.0","5.0","5.0","0.0","296.0","277.0","19.0","512.0","481.0","31.0"
"UT","3.0","2852.0","2574.0","278.0","1882.0","1604.0","278.0","970.0","970.0","0.0","185.0","141.0","44.0","163.0","119.0","44.0","22.0","22.0","0.0","220.0","203.0","17.0","180.0","146.0","34.0","29.0","29.0","0.0","151.0","117.0","34.0","37.0","37.0","0.0","1.0","1.0","0.0","36.0","36.0","0.0","45.0","45.0","0.0"
"VA","16.0","6067.0","5059.0","1008.0","4028.0","3049.0","979.0","2039.0","2010.0","29.0","896.0","531.0","365.0","864.0","501.0","363.0","32.0","30.0","2.0","478.0","384.0","94.0","303.0","247.0","56.0","15.0","15.0","0.0","288.0","232.0","56.0","83.0","83.0","0.0","0.0","0.0","0.0","83.0","83.0","0.0","109.0","109.0","0.0"
"VI","1.0","381.0","74.0","307.0","369.0","62.0","307.0","12.0","12.0","0.0","334.0","27.0","307.0","334.0","27.0","307.0","0.0","0.0","0.0","23.0","6.0","17.0","5.0","3.0","2.0","0.0","0.0","0.0","5.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"VT","2.0","1225.0","1091.0","134.0","697.0","600.0","97.0","528.0","491.0","37.0","127.0","94.0","33.0","111.0","82.0","29.0","16.0","12.0","4.0","94.0","89.0","5.0","94.0","83.0","11.0","2.0","1.0","1.0","92.0","82.0","10.0","35.0","29.0","6.0","0.0","0.0","0.0","35.0","29.0","6.0","36.0","33.0","3.0"
"WA","7.0","21112.0","12521.0","8591.0","14781.0","6733.0","8048.0","6331.0","5788.0","543.0","4939.0","1747.0","3192.0","4357.0","1290.0","3067.0","582.0","457.0","125.0","2093.0","1094.0","999.0","2135.0","733.0","1402.0","304.0","90.0","214.0","1831.0","643.0","1188.0","256.0","240.0","16.0","7.0","7.0","0.0","249.0","233.0","16.0","374.0","356.0","18.0"
"WI","4.0","5027.0","4687.0","340.0","2645.0","2317.0","328.0","2382.0","2370.0","12.0","434.0","367.0","67.0","342.0","275.0","67.0","92.0","92.0","0.0","329.0","309.0","20.0","276.0","240.0","36.0","28.0","25.0","3.0","248.0","215.0","33.0","145.0","142.0","3.0","0.0","0.0","0.0","145.0","142.0","3.0","190.0","188.0","2.0"
"WV","4.0","1309.0","1121.0","188.0","1032.0","860.0","172.0","277.0","261.0","16.0","206.0","140.0","66.0","188.0","131.0","57.0","18.0","9.0","9.0","137.0","124.0","13.0","79.0","69.0","10.0","7.0","7.0","0.0","72.0","62.0","10.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","13.0","13.0","0.0"
"WY","1.0","873.0","510.0","363.0","622.0","383.0","239.0","251.0","127.0","124.0","68.0","26.0","42.0","14.0","14.0","0.0","54.0","12.0","42.0","63.0","50.0","13.0","62.0","43.0","19.0","19.0","6.0","13.0","43.0","37.0","6.0","16.0","13.0","3.0","0.0","0.0","0.0","16.0","13.0","3.0","11.0","8.0","3.0"
"Total","399.0","553742.0","360867.0","192875.0","369081.0","193144.0","175937.0","184661.0","167723.0","16938.0","95419.0","32609.0","62810.0","86962.0","26629.0","60333.0","8457.0","5980.0","2477.0","40056.0","24690.0","15366.0","40799.0","18542.0","22257.0","4789.0","2122.0","2667.0","36010.0","16420.0","19590.0","9436.0","8859.0","577.0","96.0","83.0","13.0","9340.0","8776.0","564.0","12152.0","11433.0","719.0"
"Note: The number of CoCs in 2017 was 399. However, MO-604 merged in 2016 and covers territory in both MO and KS, contributing to the PIT count in both states. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
