"CoC Number","CoC Name","Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
"IL-511","Cook County CoC","1242.0","1009.0","233.0","738.0","512.0","226.0","504.0","497.0","7.0","192.0","80.0","112.0","192.0","80.0","112.0","0.0","0.0","0.0","115.0","88.0","27.0"
"IL-512","Bloomington/Central Illinois CoC","668.0","452.0","216.0","361.0","272.0","89.0","307.0","180.0","127.0","60.0","49.0","11.0","60.0","49.0","11.0","0.0","0.0","0.0","25.0","25.0","0.0"
"IL-513","Springfield/Sangamon County CoC","251.0","242.0","9.0","160.0","151.0","9.0","91.0","91.0","0.0","97.0","92.0","5.0","96.0","91.0","5.0","1.0","1.0","0.0","18.0","17.0","1.0"
"IL-514","DuPage County CoC","641.0","608.0","33.0","286.0","256.0","30.0","355.0","352.0","3.0","113.0","98.0","15.0","93.0","81.0","12.0","20.0","17.0","3.0","31.0","30.0","1.0"
"IL-515","South Central Illinois CoC","124.0","124.0","0.0","33.0","33.0","0.0","91.0","91.0","0.0","12.0","12.0","0.0","6.0","6.0","0.0","6.0","6.0","0.0","0.0","0.0","0.0"
"IL-516","Decatur/Macon County CoC","210.0","158.0","52.0","122.0","76.0","46.0","88.0","82.0","6.0","49.0","29.0","20.0","41.0","29.0","12.0","8.0","0.0","8.0","9.0","6.0","3.0"
"IL-517","Aurora/Elgin/Kane County CoC","431.0","388.0","43.0","313.0","277.0","36.0","118.0","111.0","7.0","74.0","65.0","9.0","71.0","62.0","9.0","3.0","3.0","0.0","34.0","30.0","4.0"
"IL-518","Rock Island/Moline/Northwestern Illinois CoC","263.0","235.0","28.0","129.0","115.0","14.0","134.0","120.0","14.0","12.0","12.0","0.0","12.0","12.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0"
"IL-519","West Central Illinois CoC","172.0","149.0","23.0","69.0","63.0","6.0","103.0","86.0","17.0","17.0","11.0","6.0","15.0","9.0","6.0","2.0","2.0","0.0","3.0","1.0","2.0"
"IL-520","Southern Illinois CoC","411.0","341.0","70.0","158.0","127.0","31.0","253.0","214.0","39.0","30.0","9.0","21.0","16.0","4.0","12.0","14.0","5.0","9.0","31.0","26.0","5.0"
"IN-502","Indiana Balance of State CoC","4612.0","3896.0","716.0","2177.0","1690.0","487.0","2435.0","2206.0","229.0","251.0","124.0","127.0","246.0","119.0","127.0","5.0","5.0","0.0","342.0","223.0","119.0"
"IN-503","Indianapolis CoC","1647.0","1474.0","173.0","1139.0","971.0","168.0","508.0","503.0","5.0","294.0","245.0","49.0","215.0","166.0","49.0","79.0","79.0","0.0","345.0","324.0","21.0"
"KS-502","Wichita/Sedgwick County CoC","550.0","475.0","75.0","368.0","296.0","72.0","182.0","179.0","3.0","138.0","106.0","32.0","127.0","97.0","30.0","11.0","9.0","2.0","53.0","41.0","12.0"
"KS-503","Topeka/Shawnee County CoC","577.0","527.0","50.0","405.0","360.0","45.0","172.0","167.0","5.0","56.0","44.0","12.0","46.0","35.0","11.0","10.0","9.0","1.0","93.0","82.0","11.0"
"KS-505","Overland Park/Shawnee/Johnson County CoC","288.0","220.0","68.0","48.0","25.0","23.0","240.0","195.0","45.0","13.0","12.0","1.0","4.0","3.0","1.0","9.0","9.0","0.0","3.0","1.0","2.0"
"KS-507","Kansas Balance of State CoC","1043.0","982.0","61.0","561.0","510.0","51.0","482.0","472.0","10.0","115.0","100.0","15.0","83.0","70.0","13.0","32.0","30.0","2.0","184.0","172.0","12.0"
"KY-500","Kentucky Balance of State CoC","2328.0","1627.0","701.0","1340.0","812.0","528.0","988.0","815.0","173.0","233.0","105.0","128.0","148.0","76.0","72.0","85.0","29.0","56.0","170.0","127.0","43.0"
"KY-501","Louisville/Jefferson County CoC","1532.0","1380.0","152.0","1034.0","891.0","143.0","498.0","489.0","9.0","187.0","128.0","59.0","166.0","107.0","59.0","21.0","21.0","0.0","223.0","198.0","25.0"
"KY-502","Lexington/Fayette County CoC","1370.0","1312.0","58.0","908.0","852.0","56.0","462.0","460.0","2.0","209.0","190.0","19.0","183.0","164.0","19.0","26.0","26.0","0.0","47.0","44.0","3.0"
"LA-500","Lafayette/Acadiana CoC","518.0","439.0","79.0","325.0","246.0","79.0","193.0","193.0","0.0","76.0","39.0","37.0","64.0","29.0","35.0","12.0","10.0","2.0","61.0","49.0","12.0"
"LA-502","Shreveport/Bossier/Northwest CoC","804.0","626.0","178.0","477.0","299.0","178.0","327.0","327.0","0.0","123.0","37.0","86.0","122.0","36.0","86.0","1.0","1.0","0.0","129.0","92.0","37.0"
"LA-503","New Orleans/Jefferson Parish CoC","4903.0","1464.0","3439.0","4325.0","931.0","3394.0","578.0","533.0","45.0","2422.0","147.0","2275.0","2368.0","116.0","2252.0","54.0","31.0","23.0","570.0","188.0","382.0"
"LA-505","Monroe/Northeast Louisiana CoC","257.0","198.0","59.0","119.0","66.0","53.0","138.0","132.0","6.0","64.0","35.0","29.0","58.0","31.0","27.0","6.0","4.0","2.0","16.0","7.0","9.0"
"LA-506","Slidell/Southeast Louisiana CoC","276.0","237.0","39.0","153.0","124.0","29.0","123.0","113.0","10.0","22.0","19.0","3.0","22.0","19.0","3.0","0.0","0.0","0.0","46.0","43.0","3.0"
"LA-507","Alexandria/Central Louisiana CoC","188.0","173.0","15.0","156.0","141.0","15.0","32.0","32.0","0.0","12.0","4.0","8.0","12.0","4.0","8.0","0.0","0.0","0.0","33.0","31.0","2.0"
"LA-508","Houma-Terrebonne/Thibodaux CoC","7.0","5.0","2.0","4.0","2.0","2.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LA-509","Louisiana Balance of State (BoS)","819.0","665.0","154.0","763.0","629.0","134.0","56.0","36.0","20.0","174.0","71.0","103.0","97.0","45.0","52.0","77.0","26.0","51.0","44.0","40.0","4.0"
"MA-500","Boston CoC","5607.0","5426.0","181.0","2430.0","2249.0","181.0","3177.0","3177.0","0.0","670.0","587.0","83.0","480.0","397.0","83.0","190.0","190.0","0.0","355.0","335.0","20.0"
"MA-502","Lynn CoC","414.0","400.0","14.0","106.0","92.0","14.0","308.0","308.0","0.0","186.0","175.0","11.0","87.0","76.0","11.0","99.0","99.0","0.0","4.0","3.0","1.0"
"MA-503","Cape Cod/Islands CoC","364.0","316.0","48.0","221.0","178.0","43.0","143.0","138.0","5.0","68.0","39.0","29.0","64.0","35.0","29.0","4.0","4.0","0.0","29.0","20.0","9.0"
"MA-504","Springfield CoC","2444.0","2409.0","35.0","382.0","347.0","35.0","2062.0","2062.0","0.0","155.0","135.0","20.0","106.0","86.0","20.0","49.0","49.0","0.0","34.0","33.0","1.0"
"MA-505","New Bedford CoC","374.0","354.0","20.0","258.0","238.0","20.0","116.0","116.0","0.0","20.0","10.0","10.0","18.0","8.0","10.0","2.0","2.0","0.0","54.0","53.0","1.0"
"MA-506","Worcester City & County CoC","1572.0","1499.0","73.0","551.0","481.0","70.0","1021.0","1018.0","3.0","35.0","35.0","0.0","23.0","23.0","0.0","12.0","12.0","0.0","123.0","119.0","4.0"
"MA-507","Pittsfield/Berkshire County CoC","717.0","658.0","59.0","484.0","425.0","59.0","233.0","233.0","0.0","155.0","125.0","30.0","66.0","36.0","30.0","89.0","89.0","0.0","247.0","244.0","3.0"
"MA-508","Lowell CoC","534.0","506.0","28.0","189.0","161.0","28.0","345.0","345.0","0.0","77.0","68.0","9.0","53.0","44.0","9.0","24.0","24.0","0.0","30.0","30.0","0.0"
"MA-509","Cambridge CoC","485.0","413.0","72.0","357.0","285.0","72.0","128.0","128.0","0.0","191.0","132.0","59.0","191.0","132.0","59.0","0.0","0.0","0.0","62.0","55.0","7.0"
"MA-510","Gloucester/Haverhill/Salem/Essex County CoC","993.0","955.0","38.0","266.0","228.0","38.0","727.0","727.0","0.0","145.0","115.0","30.0","131.0","101.0","30.0","14.0","14.0","0.0","70.0","68.0","2.0"
"MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC","1424.0","1364.0","60.0","407.0","347.0","60.0","1017.0","1017.0","0.0","134.0","113.0","21.0","111.0","90.0","21.0","23.0","23.0","0.0","92.0","90.0","2.0"
"MA-515","Fall River CoC","307.0","285.0","22.0","121.0","99.0","22.0","186.0","186.0","0.0","25.0","19.0","6.0","25.0","19.0","6.0","0.0","0.0","0.0","5.0","2.0","3.0"
"MA-516","Massachusetts Balance of State","1872.0","1835.0","37.0","354.0","319.0","35.0","1518.0","1516.0","2.0","146.0","133.0","13.0","97.0","84.0","13.0","49.0","49.0","0.0","66.0","64.0","2.0"
"MA-517","Somerville CoC","145.0","136.0","9.0","90.0","81.0","9.0","55.0","55.0","0.0","41.0","37.0","4.0","41.0","37.0","4.0","0.0","0.0","0.0","9.0","9.0","0.0"
"MA-519","Attleboro/Taunton/Bristol County CoC","249.0","223.0","26.0","73.0","47.0","26.0","176.0","176.0","0.0","7.0","0.0","7.0","7.0","0.0","7.0","0.0","0.0","0.0","1.0","1.0","0.0"
"MD-500","Cumberland/Allegany County CoC","110.0","96.0","14.0","89.0","75.0","14.0","21.0","21.0","0.0","22.0","8.0","14.0","11.0","4.0","7.0","11.0","4.0","7.0","6.0","6.0","0.0"
"MD-501","Baltimore City CoC","3854.0","2059.0","1795.0","2926.0","1544.0","1382.0","928.0","515.0","413.0","308.0","0.0","308.0","308.0","0.0","308.0","0.0","0.0","0.0","274.0","248.0","26.0"
"MD-502","Harford County CoC","189.0","177.0","12.0","78.0","66.0","12.0","111.0","111.0","0.0","30.0","25.0","5.0","23.0","18.0","5.0","7.0","7.0","0.0","10.0","5.0","5.0"
"MD-503","Annapolis/Anne Arundel County CoC","373.0","311.0","62.0","213.0","151.0","62.0","160.0","160.0","0.0","41.0","31.0","10.0","41.0","31.0","10.0","0.0","0.0","0.0","25.0","25.0","0.0"
"MD-504","Howard County CoC","230.0","148.0","82.0","114.0","41.0","73.0","116.0","107.0","9.0","54.0","6.0","48.0","53.0","6.0","47.0","1.0","0.0","1.0","9.0","2.0","7.0"
"MD-505","Baltimore County CoC","800.0","522.0","278.0","415.0","220.0","195.0","385.0","302.0","83.0","244.0","133.0","111.0","217.0","115.0","102.0","27.0","18.0","9.0","73.0","39.0","34.0"
"MD-506","Carroll County CoC","167.0","131.0","36.0","113.0","77.0","36.0","54.0","54.0","0.0","20.0","11.0","9.0","19.0","10.0","9.0","1.0","1.0","0.0","8.0","8.0","0.0"
"MD-507","Cecil County CoC","187.0","171.0","16.0","151.0","135.0","16.0","36.0","36.0","0.0","41.0","32.0","9.0","33.0","24.0","9.0","8.0","8.0","0.0","89.0","88.0","1.0"
"MD-508","Charles, Calvert, St.Mary's Counties CoC","1156.0","351.0","805.0","285.0","192.0","93.0","871.0","159.0","712.0","198.0","80.0","118.0","105.0","48.0","57.0","93.0","32.0","61.0","23.0","17.0","6.0"
"MD-509","Frederick City & County CoC","285.0","213.0","72.0","169.0","99.0","70.0","116.0","114.0","2.0","95.0","38.0","57.0","95.0","38.0","57.0","0.0","0.0","0.0","7.0","3.0","4.0"
"MD-510","Garrett County CoC","18.0","16.0","2.0","9.0","7.0","2.0","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MD-511","Mid-Shore Regional CoC","80.0","73.0","7.0","49.0","42.0","7.0","31.0","31.0","0.0","6.0","3.0","3.0","6.0","3.0","3.0","0.0","0.0","0.0","1.0","1.0","0.0"
"MD-512","Hagerstown/Washington County CoC","161.0","126.0","35.0","88.0","64.0","24.0","73.0","62.0","11.0","20.0","16.0","4.0","20.0","16.0","4.0","0.0","0.0","0.0","9.0","6.0","3.0"
"MD-513","Wicomico/Somerset/Worcester County CoC","221.0","221.0","0.0","148.0","148.0","0.0","73.0","73.0","0.0","27.0","27.0","0.0","27.0","27.0","0.0","0.0","0.0","0.0","22.0","22.0","0.0"
"MD-600","Prince George`s County/Maryland CoC","641.0","475.0","166.0","279.0","113.0","166.0","362.0","362.0","0.0","102.0","11.0","91.0","102.0","11.0","91.0","0.0","0.0","0.0","24.0","13.0","11.0"
"MD-601","Montgomery County CoC","982.0","852.0","130.0","601.0","471.0","130.0","381.0","381.0","0.0","199.0","138.0","61.0","199.0","138.0","61.0","0.0","0.0","0.0","37.0","30.0","7.0"
"ME-500","Maine Balance of State CoC","2393.0","2360.0","33.0","1287.0","1254.0","33.0","1106.0","1106.0","0.0","233.0","231.0","2.0","222.0","220.0","2.0","11.0","11.0","0.0","116.0","116.0","0.0"
"MI-500","Michigan Balance of State CoC","2255.0","1836.0","419.0","832.0","549.0","283.0","1423.0","1287.0","136.0","106.0","74.0","32.0","66.0","34.0","32.0","40.0","40.0","0.0","79.0","56.0","23.0"
"MI-501","Detroit CoC","3115.0","2762.0","353.0","2565.0","2212.0","353.0","550.0","550.0","0.0","378.0","271.0","107.0","336.0","229.0","107.0","42.0","42.0","0.0","518.0","485.0","33.0"
"MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","476.0","457.0","19.0","179.0","164.0","15.0","297.0","293.0","4.0","14.0","10.0","4.0","10.0","6.0","4.0","4.0","4.0","0.0","23.0","22.0","1.0"
"MI-503","St. Clair Shores/Warren/Macomb County CoC","607.0","301.0","306.0","491.0","209.0","282.0","116.0","92.0","24.0","128.0","54.0","74.0","127.0","54.0","73.0","1.0","0.0","1.0","21.0","13.0","8.0"
"MI-504","Pontiac/Royal Oak/Oakland County CoC","743.0","506.0","237.0","591.0","362.0","229.0","152.0","144.0","8.0","41.0","36.0","5.0","41.0","36.0","5.0","0.0","0.0","0.0","3.0","3.0","0.0"
"MI-505","Flint/Genesee County CoC","435.0","289.0","146.0","269.0","138.0","131.0","166.0","151.0","15.0","69.0","26.0","43.0","69.0","26.0","43.0","0.0","0.0","0.0","29.0","12.0","17.0"
"MI-506","Grand Rapids/Wyoming/Kent County CoC","712.0","682.0","30.0","251.0","221.0","30.0","461.0","461.0","0.0","91.0","61.0","30.0","89.0","59.0","30.0","2.0","2.0","0.0","13.0","13.0","0.0"
"MI-507","Portage/Kalamazoo City & County CoC","729.0","708.0","21.0","265.0","244.0","21.0","464.0","464.0","0.0","53.0","43.0","10.0","51.0","41.0","10.0","2.0","2.0","0.0","30.0","27.0","3.0"
"MI-508","Lansing/East Lansing/Ingham County CoC","470.0","400.0","70.0","334.0","276.0","58.0","136.0","124.0","12.0","90.0","74.0","16.0","75.0","59.0","16.0","15.0","15.0","0.0","78.0","72.0","6.0"
"MI-509","Ann Arbor/Washtenaw County CoC","381.0","338.0","43.0","216.0","173.0","43.0","165.0","165.0","0.0","81.0","44.0","37.0","57.0","20.0","37.0","24.0","24.0","0.0","29.0","14.0","15.0"
"MI-510","Saginaw City & County CoC","402.0","325.0","77.0","243.0","166.0","77.0","159.0","159.0","0.0","26.0","12.0","14.0","24.0","10.0","14.0","2.0","2.0","0.0","56.0","48.0","8.0"
"MI-511","Lenawee County CoC","118.0","96.0","22.0","44.0","38.0","6.0","74.0","58.0","16.0","7.0","2.0","5.0","4.0","2.0","2.0","3.0","0.0","3.0","2.0","0.0","2.0"
"MI-512","Grand Traverse, Antrim, Leelanau Counties CoC","316.0","268.0","48.0","174.0","126.0","48.0","142.0","142.0","0.0","89.0","61.0","28.0","76.0","51.0","25.0","13.0","10.0","3.0","24.0","17.0","7.0"
"MI-513","Marquette, Alger Counties CoC","80.0","76.0","4.0","61.0","57.0","4.0","19.0","19.0","0.0","6.0","4.0","2.0","6.0","4.0","2.0","0.0","0.0","0.0","9.0","8.0","1.0"
"MI-514","Battle Creek/Calhoun County CoC","216.0","160.0","56.0","167.0","113.0","54.0","49.0","47.0","2.0","26.0","8.0","18.0","24.0","8.0","16.0","2.0","0.0","2.0","38.0","12.0","26.0"
"MI-515","Monroe City & County CoC","113.0","109.0","4.0","81.0","77.0","4.0","32.0","32.0","0.0","21.0","17.0","4.0","21.0","17.0","4.0","0.0","0.0","0.0","9.0","9.0","0.0"
"MI-516","Norton Shores/Muskegon City & County CoC","457.0","225.0","232.0","300.0","157.0","143.0","157.0","68.0","89.0","56.0","11.0","45.0","22.0","7.0","15.0","34.0","4.0","30.0","13.0","5.0","8.0"
"MI-517","Jackson City & County CoC","256.0","200.0","56.0","107.0","51.0","56.0","149.0","149.0","0.0","40.0","11.0","29.0","37.0","8.0","29.0","3.0","3.0","0.0","23.0","3.0","20.0"
"MI-518","Livingston County CoC","150.0","79.0","71.0","68.0","22.0","46.0","82.0","57.0","25.0","19.0","4.0","15.0","18.0","4.0","14.0","1.0","0.0","1.0","2.0","1.0","1.0"
"MI-519","Holland/Ottawa County CoC","322.0","319.0","3.0","124.0","121.0","3.0","198.0","198.0","0.0","20.0","20.0","0.0","15.0","15.0","0.0","5.0","5.0","0.0","15.0","15.0","0.0"
"MI-523","Eaton County CoC","239.0","134.0","105.0","35.0","11.0","24.0","204.0","123.0","81.0","9.0","0.0","9.0","6.0","0.0","6.0","3.0","0.0","3.0","3.0","0.0","3.0"
"MN-500","Minneapolis/Hennepin County CoC","3285.0","3141.0","144.0","1480.0","1342.0","138.0","1805.0","1799.0","6.0","740.0","686.0","54.0","351.0","297.0","54.0","389.0","389.0","0.0","126.0","116.0","10.0"
"MN-501","Saint Paul/Ramsey County CoC","1218.0","1107.0","111.0","661.0","554.0","107.0","557.0","553.0","4.0","383.0","307.0","76.0","296.0","228.0","68.0","87.0","79.0","8.0","64.0","54.0","10.0"
"MN-502","Rochester/Southeast Minnesota CoC","379.0","359.0","20.0","151.0","131.0","20.0","228.0","228.0","0.0","68.0","59.0","9.0","49.0","40.0","9.0","19.0","19.0","0.0","16.0","14.0","2.0"
"MN-503","Dakota, Anoka, Washington, Scott, Carver Counties","853.0","667.0","186.0","304.0","172.0","132.0","549.0","495.0","54.0","196.0","95.0","101.0","99.0","26.0","73.0","97.0","69.0","28.0","14.0","10.0","4.0"
"MN-504","Northeast Minnesota CoC","178.0","80.0","98.0","61.0","24.0","37.0","117.0","56.0","61.0","22.0","5.0","17.0","10.0","2.0","8.0","12.0","3.0","9.0","13.0","7.0","6.0"
"MN-505","St. Cloud/Central Minnesota CoC","547.0","407.0","140.0","316.0","212.0","104.0","231.0","195.0","36.0","169.0","131.0","38.0","96.0","64.0","32.0","73.0","67.0","6.0","43.0","26.0","17.0"
"MN-506","Northwest Minnesota CoC","301.0","250.0","51.0","108.0","82.0","26.0","193.0","168.0","25.0","40.0","20.0","20.0","18.0","10.0","8.0","22.0","10.0","12.0","5.0","1.0","4.0"
"MN-508","Moorhead/West Central Minnesota CoC","254.0","224.0","30.0","129.0","113.0","16.0","125.0","111.0","14.0","27.0","19.0","8.0","25.0","17.0","8.0","2.0","2.0","0.0","13.0","10.0","3.0"
"MN-509","Duluth/St.Louis County CoC","568.0","386.0","182.0","284.0","126.0","158.0","284.0","260.0","24.0","64.0","21.0","43.0","59.0","16.0","43.0","5.0","5.0","0.0","10.0","1.0","9.0"
"MN-511","Southwest Minnesota CoC","161.0","133.0","28.0","46.0","37.0","9.0","115.0","96.0","19.0","9.0","3.0","6.0","1.0","0.0","1.0","8.0","3.0","5.0","5.0","4.0","1.0"
"MO-500","St. Louis County CoC","543.0","438.0","105.0","176.0","116.0","60.0","367.0","322.0","45.0","43.0","36.0","7.0","41.0","34.0","7.0","2.0","2.0","0.0","36.0","34.0","2.0"
"MO-501","St.Louis City CoC","1506.0","1381.0","125.0","927.0","805.0","122.0","579.0","576.0","3.0","136.0","97.0","39.0","116.0","80.0","36.0","20.0","17.0","3.0","214.0","196.0","18.0"
"MO-503","St. Charles, Lincoln, Warren Counties CoC","1023.0","544.0","479.0","251.0","100.0","151.0","772.0","444.0","328.0","92.0","31.0","61.0","27.0","7.0","20.0","65.0","24.0","41.0","5.0","4.0","1.0"
"MO-600","Springfield/Greene, Christian, Webster Counties CoC","662.0","494.0","168.0","408.0","258.0","150.0","254.0","236.0","18.0","85.0","31.0","54.0","81.0","27.0","54.0","4.0","4.0","0.0","38.0","17.0","21.0"
"MO-602","Joplin/Jasper, Newton Counties CoC","1724.0","1666.0","58.0","442.0","384.0","58.0","1282.0","1282.0","0.0","61.0","61.0","0.0","61.0","61.0","0.0","0.0","0.0","0.0","84.0","84.0","0.0"
"MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","186.0","171.0","15.0","119.0","104.0","15.0","67.0","67.0","0.0","58.0","52.0","6.0","56.0","50.0","6.0","2.0","2.0","0.0","33.0","31.0","2.0"
"MO-604a","Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS","2705.0","1876.0","829.0","1453.0","992.0","461.0","1252.0","884.0","368.0","943.0","548.0","395.0","386.0","223.0","163.0","557.0","325.0","232.0","338.0","219.0","119.0"
"MO-606","Missouri Balance of State CoC","2114.0","1469.0","645.0","1223.0","846.0","377.0","891.0","623.0","268.0","263.0","185.0","78.0","185.0","140.0","45.0","78.0","45.0","33.0","191.0","162.0","29.0"
"MS-500","Jackson/Rankin, Madison Counties CoC","1037.0","380.0","657.0","883.0","230.0","653.0","154.0","150.0","4.0","304.0","44.0","260.0","277.0","32.0","245.0","27.0","12.0","15.0","140.0","13.0","127.0"
"MS-501","Mississippi Balance of State CoC","1018.0","579.0","439.0","646.0","351.0","295.0","372.0","228.0","144.0","119.0","13.0","106.0","95.0","13.0","82.0","24.0","0.0","24.0","59.0","39.0","20.0"
"MS-503","Gulf Port/Gulf Coast Regional CoC","358.0","83.0","275.0","265.0","45.0","220.0","93.0","38.0","55.0","78.0","10.0","68.0","78.0","10.0","68.0","0.0","0.0","0.0","45.0","19.0","26.0"
"MT-500","Montana Statewide CoC","1833.0","1153.0","680.0","1166.0","653.0","513.0","667.0","500.0","167.0","388.0","213.0","175.0","304.0","161.0","143.0","84.0","52.0","32.0","323.0","147.0","176.0"
"NC-500","Winston Salem/Forsyth County CoC","556.0","436.0","120.0","422.0","304.0","118.0","134.0","132.0","2.0","183.0","112.0","71.0","179.0","110.0","69.0","4.0","2.0","2.0","43.0","27.0","16.0"
"NC-501","Asheville/Buncombe County CoC","560.0","478.0","82.0","466.0","384.0","82.0","94.0","94.0","0.0","80.0","40.0","40.0","78.0","38.0","40.0","2.0","2.0","0.0","230.0","219.0","11.0"
"NC-502","Durham City & County CoC","698.0","635.0","63.0","572.0","509.0","63.0","126.0","126.0","0.0","134.0","81.0","53.0","131.0","78.0","53.0","3.0","3.0","0.0","116.0","100.0","16.0"
"NC-503","North Carolina Balance of State CoC","2922.0","2266.0","656.0","1723.0","1272.0","451.0","1199.0","994.0","205.0","256.0","138.0","118.0","194.0","105.0","89.0","62.0","33.0","29.0","143.0","102.0","41.0"
"NC-504","Greensboro/High Point CoC","990.0","835.0","155.0","680.0","525.0","155.0","310.0","310.0","0.0","116.0","57.0","59.0","116.0","57.0","59.0","0.0","0.0","0.0","104.0","87.0","17.0"
"NC-505","Charlotte/Mecklenberg CoC","2567.0","2266.0","301.0","1526.0","1225.0","301.0","1041.0","1041.0","0.0","202.0","127.0","75.0","189.0","114.0","75.0","13.0","13.0","0.0","373.0","360.0","13.0"
"NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC","469.0","316.0","153.0","347.0","214.0","133.0","122.0","102.0","20.0","44.0","14.0","30.0","43.0","14.0","29.0","1.0","0.0","1.0","28.0","21.0","7.0"
"NC-507","Raleigh/Wake County CoC","1116.0","928.0","188.0","843.0","659.0","184.0","273.0","269.0","4.0","100.0","48.0","52.0","97.0","45.0","52.0","3.0","3.0","0.0","141.0","113.0","28.0"
"NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC","611.0","129.0","482.0","574.0","112.0","462.0","37.0","17.0","20.0","80.0","40.0","40.0","68.0","35.0","33.0","12.0","5.0","7.0","47.0","12.0","35.0"
"NC-511","Fayetteville/Cumberland County CoC","1606.0","306.0","1300.0","889.0","132.0","757.0","717.0","174.0","543.0","339.0","15.0","324.0","295.0","15.0","280.0","44.0","0.0","44.0","152.0","39.0","113.0"
"NC-513","Chapel Hill/Orange County CoC","110.0","82.0","28.0","88.0","60.0","28.0","22.0","22.0","0.0","29.0","14.0","15.0","29.0","14.0","15.0","0.0","0.0","0.0","8.0","6.0","2.0"
"NC-516","Northwest North Carolina CoC","1319.0","132.0","1187.0","350.0","65.0","285.0","969.0","67.0","902.0","58.0","16.0","42.0","46.0","16.0","30.0","12.0","0.0","12.0","28.0","5.0","23.0"
"ND-500","North Dakota Statewide CoC","688.0","635.0","53.0","485.0","445.0","40.0","203.0","190.0","13.0","86.0","78.0","8.0","81.0","75.0","6.0","5.0","3.0","2.0","160.0","144.0","16.0"
"NE-500","Nebraska Balance of State CoC","1278.0","593.0","685.0","466.0","259.0","207.0","812.0","334.0","478.0","136.0","34.0","102.0","72.0","17.0","55.0","64.0","17.0","47.0","28.0","13.0","15.0"
"NE-501","Omaha/Council Bluffs CoC","1530.0","1508.0","22.0","1085.0","1063.0","22.0","445.0","445.0","0.0","204.0","199.0","5.0","191.0","186.0","5.0","13.0","13.0","0.0","143.0","141.0","2.0"
"NE-502","Lincoln CoC","981.0","856.0","125.0","664.0","539.0","125.0","317.0","317.0","0.0","161.0","100.0","61.0","133.0","85.0","48.0","28.0","15.0","13.0","78.0","59.0","19.0"
"NH-500","New Hampshire Balance of State CoC","761.0","695.0","66.0","401.0","343.0","58.0","360.0","352.0","8.0","132.0","84.0","48.0","125.0","78.0","47.0","7.0","6.0","1.0","43.0","38.0","5.0"
"NH-501","Manchester CoC","399.0","339.0","60.0","226.0","169.0","57.0","173.0","170.0","3.0","57.0","43.0","14.0","57.0","43.0","14.0","0.0","0.0","0.0","16.0","14.0","2.0"
"NH-502","Nashua/Hillsborough County CoC","336.0","295.0","41.0","205.0","171.0","34.0","131.0","124.0","7.0","85.0","53.0","32.0","55.0","30.0","25.0","30.0","23.0","7.0","68.0","64.0","4.0"
"NJ-500","Atlantic City & County CoC","631.0","562.0","69.0","459.0","392.0","67.0","172.0","170.0","2.0","117.0","101.0","16.0","117.0","101.0","16.0","0.0","0.0","0.0","53.0","44.0","9.0"
"NJ-501","Bergen County CoC","454.0","422.0","32.0","284.0","258.0","26.0","170.0","164.0","6.0","54.0","45.0","9.0","54.0","45.0","9.0","0.0","0.0","0.0","18.0","17.0","1.0"
"NJ-502","Burlington County CoC","823.0","794.0","29.0","407.0","382.0","25.0","416.0","412.0","4.0","75.0","68.0","7.0","45.0","38.0","7.0","30.0","30.0","0.0","19.0","15.0","4.0"
"NJ-503","Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1215.0","1051.0","164.0","672.0","556.0","116.0","543.0","495.0","48.0","95.0","65.0","30.0","76.0","54.0","22.0","19.0","11.0","8.0","97.0","82.0","15.0"
"NJ-504","Newark/Essex County CoC","1504.0","1335.0","169.0","941.0","796.0","145.0","563.0","539.0","24.0","178.0","132.0","46.0","137.0","105.0","32.0","41.0","27.0","14.0","80.0","59.0","21.0"
