"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"GA-503","Athens/Clarke County CoC","213.0","118.0","95.0","171.0","76.0","95.0","42.0","42.0","0.0","67.0","22.0","45.0","67.0","22.0","45.0","0.0","0.0","0.0","15.0","3.0","12.0"
"GA-504","Augusta CoC","476.0","330.0","146.0","313.0","193.0","120.0","163.0","137.0","26.0","62.0","14.0","48.0","54.0","14.0","40.0","8.0","0.0","8.0","42.0","26.0","16.0"
"GA-505","Columbus-Muscogee/Russell County CoC","294.0","234.0","60.0","246.0","186.0","60.0","48.0","48.0","0.0","58.0","32.0","26.0","58.0","32.0","26.0","0.0","0.0","0.0","42.0","29.0","13.0"
"GA-506","Marietta/Cobb County CoC","495.0","351.0","144.0","263.0","141.0","122.0","232.0","210.0","22.0","60.0","16.0","44.0","52.0","16.0","36.0","8.0","0.0","8.0","59.0","25.0","34.0"
"GA-507","Savannah/Chatham County CoC","1165.0","543.0","622.0","1052.0","430.0","622.0","113.0","113.0","0.0","131.0","42.0","89.0","123.0","34.0","89.0","8.0","8.0","0.0","68.0","39.0","29.0"
"GA-508","DeKalb County Continuum of Care","713.0","499.0","214.0","402.0","198.0","204.0","311.0","301.0","10.0","82.0","0.0","82.0","78.0","0.0","78.0","4.0","0.0","4.0","67.0","43.0","24.0"
"GU-500","Guam CoC","1271.0","128.0","1143.0","296.0","35.0","261.0","975.0","93.0","882.0","290.0","1.0","289.0","51.0","1.0","50.0","239.0","0.0","239.0","32.0","2.0","30.0"
"HI-500","Hawaii Balance of State CoC","1779.0","654.0","1125.0","1159.0","241.0","918.0","620.0","413.0","207.0","395.0","45.0","350.0","339.0","25.0","314.0","56.0","20.0","36.0","160.0","27.0","133.0"
"HI-501","Honolulu CoC","4556.0","3091.0","1465.0","2196.0","901.0","1295.0","2360.0","2190.0","170.0","785.0","228.0","557.0","692.0","187.0","505.0","93.0","41.0","52.0","398.0","207.0","191.0"
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","236.0","224.0","12.0","115.0","103.0","12.0","121.0","121.0","0.0","65.0","57.0","8.0","58.0","50.0","8.0","7.0","7.0","0.0","11.0","9.0","2.0"
"IA-501","Iowa Balance of State CoC","1920.0","1859.0","61.0","833.0","774.0","59.0","1087.0","1085.0","2.0","145.0","129.0","16.0","108.0","92.0","16.0","37.0","37.0","0.0","88.0","85.0","3.0"
"IA-502","Des Moines/Polk County CoC","928.0","867.0","61.0","576.0","515.0","61.0","352.0","352.0","0.0","117.0","72.0","45.0","111.0","66.0","45.0","6.0","6.0","0.0","130.0","126.0","4.0"
"ID-500","Boise/Ada County CoC","694.0","645.0","49.0","544.0","498.0","46.0","150.0","147.0","3.0","108.0","93.0","15.0","85.0","73.0","12.0","23.0","20.0","3.0","112.0","106.0","6.0"
"ID-501","Idaho Balance of State","1087.0","759.0","328.0","540.0","277.0","263.0","547.0","482.0","65.0","163.0","72.0","91.0","108.0","32.0","76.0","55.0","40.0","15.0","96.0","56.0","40.0"
"IL-500","McHenry County CoC","185.0","180.0","5.0","111.0","106.0","5.0","74.0","74.0","0.0","9.0","8.0","1.0","9.0","8.0","1.0","0.0","0.0","0.0","25.0","25.0","0.0"
"IL-501","Rockford/Winnebago, Boone Counties CoC","788.0","501.0","287.0","406.0","294.0","112.0","382.0","207.0","175.0","268.0","153.0","115.0","184.0","121.0","63.0","84.0","32.0","52.0","45.0","32.0","13.0"
"IL-502","Waukegan/North Chicago/Lake County CoC","497.0","492.0","5.0","337.0","332.0","5.0","160.0","160.0","0.0","62.0","61.0","1.0","62.0","61.0","1.0","0.0","0.0","0.0","82.0","82.0","0.0"
